device = mps
train samples = 156965
dev samples = 73152
trainable params = 4,484,929
loss type = pairwise
lr scheduler = ReduceLROnPlateau(mode=min, factor=0.5, patience=1, min_lr=1e-06)
wandb run name = pairwise-balanced-0404-2354
[epoch 5] step 16600 train_loss=0.4986
[epoch 5] step 16800 train_loss=0.4989
[epoch 5] step 17000 train_loss=0.4988
[epoch 5] step 17200 train_loss=0.4988
[epoch 5] step 17400 train_loss=0.4989
[epoch 5] step 17600 train_loss=0.4989
[epoch 5] step 17800 train_loss=0.4988
[epoch 5] step 18000 train_loss=0.4990
[epoch 5] step 18200 train_loss=0.4992
[epoch 5] step 18400 train_loss=0.4992
[epoch 5] step 18600 train_loss=0.4991
[epoch 5] step 18800 train_loss=0.4991
[epoch 5] step 19000 train_loss=0.4989
[epoch 5] step 19200 train_loss=0.4988
[epoch 5] step 19400 train_loss=0.4987
[epoch 5] step 19600 train_loss=0.4986
[epoch 5] step 19621 train_loss=0.4987
[epoch 5] train_loss=0.4987 dev_loss=0.6019 AUC=0.6411 MRR=0.3509 nDCG@5=0.3285 nDCG@10=0.3952 BrierScore=0.2107 Recall@10=0.6564 selection_score=0.1976
[epoch 5] lr=0.00025
early stopping monitor: 3/10 epochs without selection_score improvement > 0.0010
[epoch 6] step 200 train_loss=0.4855
[epoch 6] step 400 train_loss=0.4808
[epoch 6] step 600 train_loss=0.4840
[epoch 6] step 800 train_loss=0.4807
[epoch 6] step 1000 train_loss=0.4765
[epoch 6] step 1200 train_loss=0.4773
[epoch 6] step 1400 train_loss=0.4787
[epoch 6] step 1600 train_loss=0.4789
[epoch 6] step 1800 train_loss=0.4778
[epoch 6] step 2000 train_loss=0.4771
[epoch 6] step 2200 train_loss=0.4790
[epoch 6] step 2400 train_loss=0.4796
[epoch 6] step 2600 train_loss=0.4780
[epoch 6] step 2800 train_loss=0.4786
[epoch 6] step 3000 train_loss=0.4790
[epoch 6] step 3200 train_loss=0.4794
[epoch 6] step 3400 train_loss=0.4794
[epoch 6] step 3600 train_loss=0.4799
[epoch 6] step 3800 train_loss=0.4798
[epoch 6] step 4000 train_loss=0.4801
[epoch 6] step 4200 train_loss=0.4805
[epoch 6] step 4400 train_loss=0.4813
[epoch 6] step 4600 train_loss=0.4810
[epoch 6] step 4800 train_loss=0.4810
[epoch 6] step 5000 train_loss=0.4812
[epoch 6] step 5200 train_loss=0.4809
[epoch 6] step 5400 train_loss=0.4810
[epoch 6] step 5600 train_loss=0.4812
[epoch 6] step 5800 train_loss=0.4810
[epoch 6] step 6000 train_loss=0.4808
[epoch 6] step 6200 train_loss=0.4812
[epoch 6] step 6400 train_loss=0.4811
[epoch 6] step 6600 train_loss=0.4813
[epoch 6] step 6800 train_loss=0.4811
[epoch 6] step 7000 train_loss=0.4809
[epoch 6] step 7200 train_loss=0.4804
[epoch 6] step 7400 train_loss=0.4805
[epoch 6] step 7600 train_loss=0.4809
[epoch 6] step 7800 train_loss=0.4806
[epoch 6] step 8000 train_loss=0.4802
[epoch 6] step 8200 train_loss=0.4797
[epoch 6] step 8400 train_loss=0.4799
[epoch 6] step 8600 train_loss=0.4800
[epoch 6] step 8800 train_loss=0.4798
[epoch 6] step 9000 train_loss=0.4797
[epoch 6] step 9200 train_loss=0.4796
[epoch 6] step 9400 train_loss=0.4797
[epoch 6] step 9600 train_loss=0.4799
[epoch 6] step 9800 train_loss=0.4796
[epoch 6] step 10000 train_loss=0.4792
[epoch 6] step 10200 train_loss=0.4794
[epoch 6] step 10400 train_loss=0.4791
[epoch 6] step 10600 train_loss=0.4791
[epoch 6] step 10800 train_loss=0.4791
[epoch 6] step 11000 train_loss=0.4790
[epoch 6] step 11200 train_loss=0.4793
[epoch 6] step 11400 train_loss=0.4797
[epoch 6] step 11600 train_loss=0.4798
[epoch 6] step 11800 train_loss=0.4797
[epoch 6] step 12000 train_loss=0.4801
[epoch 6] step 12200 train_loss=0.4798
[epoch 6] step 12400 train_loss=0.4798
[epoch 6] step 12600 train_loss=0.4797
[epoch 6] step 12800 train_loss=0.4797
[epoch 6] step 13000 train_loss=0.4798
[epoch 6] step 13200 train_loss=0.4796
[epoch 6] step 13400 train_loss=0.4797
[epoch 6] step 13600 train_loss=0.4797
[epoch 6] step 13800 train_loss=0.4795
[epoch 6] step 14000 train_loss=0.4796
[epoch 6] step 14200 train_loss=0.4795
[epoch 6] step 14400 train_loss=0.4794
[epoch 6] step 14600 train_loss=0.4794
[epoch 6] step 14800 train_loss=0.4796
[epoch 6] step 15000 train_loss=0.4795
[epoch 6] step 15200 train_loss=0.4795
[epoch 6] step 15400 train_loss=0.4795
[epoch 6] step 15600 train_loss=0.4796
[epoch 6] step 15800 train_loss=0.4797
[epoch 6] step 16000 train_loss=0.4798
[epoch 6] step 16200 train_loss=0.4798
[epoch 6] step 16400 train_loss=0.4799
[epoch 6] step 16600 train_loss=0.4798
